iter	Passed	Remaining
134	11059	70861
135	11148	70825
136	11235	70774
137	11320	70712
138	11404	70641
139	11484	70549
140	11571	70494
141	11674	70538
142	11764	70504
143	11856	70481
144	11948	70453
145	12043	70447
146	12136	70426
147	12219	70343
148	12300	70255
149	12383	70170
150	12461	70064
151	12538	69949
152	12619	69859
153	12696	69749
154	12774	69641
155	12847	69507
156	12926	69409
157	13001	69288
158	13082	69196
159	13161	69095
160	13238	68986
161	13316	68886
162	13393	68773
163	13470	68668
164	13548	68563
165	13627	68466
166	13702	68346
167	13780	68245
168	13856	68134
169	13933	68028
170	14009	67919
171	14092	67838
172	14174	67759
173	14252	67660
174	14330	67555
175	14405	67445
176	14486	67359
177	14568	67276
178	14650	67197
179	14730	67106
180	14807	67003
181	14884	66896
182	14962	66801
183	15044	66716
184	15130	66657
185	15211	66568
186	15292	66487
187	15372	66396
188	15450	66298
189	15528	66198
190	15604	66094
191	15682	65998
192	15765	65919
193	15841	65816
194	15920	65721
195	15998	65627
196	16077	65535
197	16158	65448
198	16234	65347
199	16313	65253
200	16389	65152
201	16471	65069
202	16545	64960
203	16623	64865
204	16701	64769
205	16779	64674
206	16857	64579
207	16935	64485
208	17011	64384
209	17090	64291
210	17169	64202
211	17245	64101
212	17325	64015
213	17402	63918
214	17480	63825
215	17557	63725
216	17633	63628
217	17711	63534
218	17789	63440
219	17874	63373
220	17951	63278
221	18030	63187
222	18111	63105
223	18191	63019
224	18269	62927
225	18344	62826
226	18424	62742
227	18501	62645
228	18578	62549
229	18654	62451
230	18730	62355
231	18807	62257
232	18884	62165
233	18966	62086
234	19043	61993
235	19122	61906
236	19200	61813
237	19279	61727
238	19355	61630
239	19433	61538
240	19514	61458
241	19590	61363
242	19674	61291
243	19757	61215
244	19838	61134
245	19915	61042
246	20001	60976
247	20091	60922
248	20173	60843
249	20250	60750
250	20327	60659
251	20407	60575
252	20483	60479
253	20564	60398
254	20640	60303
255	20714	60202
256	20789	60103
257	20866	60010
258	20942	59917
259	21028	59851
260	21114	59782
261	21189	59685
262	21265	59591
263	21342	59500
264	21419	59408
265	21495	59315
266	21575	59231
267	21654	59145
268	21735	59066
269	21815	58981
270	21889	58884
271	21967	58794
272	22043	58701
273	22124	58622
274	22200	58529
275	22281	58447
276	22360	58363
277	22436	58270
278	22512	58176
279	22589	58087
280	22668	58003
281	22747	57917
282	22825	57829
283	22903	57741
284	22981	57654
285	23058	57564
286	23135	57475
287	23220	57405
288	23299	57321
289	23375	57229
290	23452	57140
291	23527	57046
292	23602	56952
293	23679	56862
294	23756	56773
295	23831	56681
296	23907	56588
297	23981	56493
298	24060	56409
299	24143	56335
300	24224	56255
301	24309	56185
302	24389	56103
303	24466	56015
304	24543	55926
305	24618	55835
306	24695	55745
307	24774	55662
308	24852	55576
309	24929	55487
310	25005	55398
311	25083	55311
312	25160	55223
313	25237	55137
314	25322	55065
315	25400	54980
316	25474	54887
317	25550	54797
318	25627	54708
319	25702	54618
320	25778	54527
321	25858	54448
322	25934	54358
323	26009	54267
324	26089	54186
325	26164	54094
326	26240	54006
327	26318	53921
328	26398	53840
329	26476	53754
330	26554	53670
331	26631	53583
332	26711	53502
333	26788	53416
334	26869	53337
335	26946	53251
336	27023	53165
337	27103	53084
338	27180	52998
339	27257	52910
340	27332	52822
341	27414	52744
342	27491	52658
343	27570	52575
344	27646	52487
345	27724	52404
346	27801	52318
347	27879	52234
348	27959	52153
349	28035	52065
350	28120	51995
351	28202	51917
352	28281	51836
353	28359	51751
354	28435	51664
355	28514	51582
356	28591	51496
357	28670	51415
358	28752	51337
359	28831	51256
360	28907	51168
361	28983	51082
362	29061	50997
363	29140	50915
364	29221	50837
365	29299	50754
366	29376	50667
367	29452	50581
368	29531	50499
369	29607	50413
370	29681	50323
371	29758	50236
372	29834	50150
373	29910	50064
374	29986	49978
375	30067	49898
376	30143	49812
377	30221	49729
378	30299	49647
379	30381	49569
380	30459	49487
381	30534	49397
382	30612	49315
383	30688	49229
384	30763	49142
385	30840	49057
386	30924	48983
387	31000	48897
388	31078	48815
389	31157	48733
390	31232	48646
391	31311	48565
392	31390	48483
393	31467	48399
394	31544	48315
395	31621	48230
396	31702	48152
397	31778	48067
398	31856	47983
399	31932	47898
400	32007	47811
401	32090	47736
402	32170	47656
403	32250	47577
404	32327	47493
405	32404	47410
406	32488	47335
407	32565	47252
408	32644	47170
409	32723	47089
410	32800	47005
411	32879	46925
412	32958	46844
413	33034	46758
414	33113	46677
415	33190	46594
416	33271	46516
417	33347	46431
418	33431	46357
419	33512	46278
420	33590	46197
421	33666	46112
422	33743	46028
423	33822	45947
424	33898	45862
425	33977	45781
426	34056	45701
427	34134	45618
428	34212	45536
429	34295	45461
430	34376	45382
431	34460	45309
432	34538	45227
433	34615	45143
434	34693	45061
435	34768	44975
436	34847	44894
437	34925	44813
438	35002	44730
439	35079	44646
440	35155	44562
441	35234	44481
442	35313	44400
443	35394	44323
444	35476	44246
445	35553	44163
446	35630	44079
447	35707	43996
448	35782	43911
449	35860	43828
450	35937	43746
451	36013	43662
452	36093	43583
453	36170	43500
454	36258	43430
455	36346	43360
456	36443	43302
457	36535	43235
458	36626	43169
459	36717	43102
460	36800	43026
461	36882	42949
462	36968	42877
463	37050	42800
464	37137	42728
465	37218	42649
466	37303	42575
467	37384	42497
468	37473	42427
469	37553	42347
470	37631	42265
471	37708	42182
472	37785	42099
473	37865	42019
474	37943	41937
475	38023	41857
476	38103	41777
477	38183	41697
478	38260	41615
479	38337	41532
480	38414	41449
481	38492	41367
482	38573	41288
483	38648	41203
484	38723	41119
485	38799	41034
486	38874	40950
487	38950	40866
488	39028	40784
489	39108	40704
490	39187	40623
491	39269	40546
492	39347	40464
493	39424	40382
494	39501	40299
495	39581	40220
496	39663	40142
497	39739	40058
498	39814	39973
499	39889	39889
500	39966	39807
501	40050	39731
502	40130	39652
503	40207	39569
504	40282	39485
505	40360	39403
506	40435	39319
507	40511	39235
508	40589	39153
509	40670	39075
510	40746	38992
511	40821	38908
512	40899	38826
513	40980	38748
514	41061	38669
515	41140	38588
516	41219	38508
517	41295	38425
518	41376	38347
519	41454	38265
520	41532	38184
521	41612	38105
522	41690	38023
523	41769	37943
524	41848	37862
525	41927	37782
526	42005	37700
527	42085	37621
528	42164	37541
529	42243	37461
530	42320	37379
531	42397	37296
532	42474	37215
533	42554	37135
534	42630	37052
535	42706	36969
536	42785	36889
537	42863	36808
538	42941	36727
539	43017	36644
540	43096	36564
541	43174	36482
542	43251	36401
543	43332	36322
544	43408	36240
545	43486	36159
546	43566	36080
547	43643	35997
548	43718	35914
549	43795	35832
550	43873	35751
551	43948	35668
552	44026	35587
553	44104	35506
554	44181	35424
555	44258	35343
556	44337	35262
557	44418	35184
558	44496	35103
559	44576	35024
560	44655	34944
561	44732	34862
562	44808	34780
563	44887	34699
564	44965	34619
565	45042	34538
566	45120	34457
567	45197	34375
568	45276	34295
569	45354	34214
570	45433	34134
571	45512	34054
572	45592	33975
573	45671	33895
574	45748	33814
575	45824	33731
576	45900	33649
577	45979	33569
578	46060	33491
579	46139	33411
580	46216	33330
581	46292	33248
582	46372	33168
583	46454	33090
584	46535	33012
585	46620	32936
586	46701	32858
587	46779	32777
588	46858	32697
589	46938	32618
590	47021	32540
591	47103	32462
592	47184	32384
593	47266	32306
594	47342	32224
595	47418	32142
596	47497	32062
597	47575	31981
598	47655	31902
599	47730	31820
600	47807	31739
601	47888	31660
602	47965	31579
603	48045	31500
604	48126	31421
605	48203	31340
606	48285	31262
607	48364	31182
608	48440	31100
609	48519	31020
610	48597	30940
611	48675	30859
612	48751	30777
613	48828	30696
614	48903	30614
615	48979	30532
616	49056	30451
617	49132	30369
618	49214	30291
619	49291	30210
620	49366	30128
621	49442	30046
622	49519	29965
623	49596	29885
624	49679	29807
625	49756	29726
626	49831	29644
627	49909	29564
628	49985	29482
629	50063	29402
630	50140	29321
631	50227	29246
632	50309	29168
633	50386	29087
634	50466	29008
635	50548	28930
636	50623	28848
637	50704	28769
638	50784	28690
639	50863	28610
640	50951	28535
641	51041	28462
642	51120	28382
643	51200	28303
644	51281	28224
645	51361	28145
646	51440	28065
647	51517	27984
648	51594	27903
649	51677	27826
650	51760	27748
651	51848	27673
652	51943	27602
653	52037	27530
654	52138	27462
655	52226	27387
656	52317	27313
657	52423	27247
658	52514	27173
659	52610	27102
660	52692	27024
661	52777	26946
662	52870	26874
663	52959	26798
664	53051	26725
665	53136	26647
666	53217	26569
667	53297	26489
668	53378	26410
669	53462	26332
670	53544	26253
671	53627	26175
672	53707	26095
673	53790	26017
674	53868	25936
675	53947	25856
676	54028	25777
677	54117	25701
678	54199	25623
679	54281	25544
680	54363	25465
681	54444	25385
682	54534	25310
683	54620	25234
684	54708	25158
685	54799	25082
686	54881	25004
687	54964	24925
688	55051	24848
689	55138	24772
690	55225	24695
691	55309	24617
692	55390	24538
693	55469	24457
694	55550	24378
695	55635	24300
696	55719	24222
697	55803	24144
698	55886	24065
699	55970	23987
700	56053	23908
701	56149	23835
702	56234	23757
703	56315	23678
704	56397	23598
705	56478	23519
706	56563	23441
707	56653	23365
708	56746	23290
709	56839	23216
710	56923	23137
711	57006	23058
712	57090	22980
713	57177	22903
714	57259	22823
715	57342	22744
716	57426	22666
717	57511	22588
718	57593	22508
719	57673	22428
720	57761	22351
721	57842	22271
722	57922	22191
723	58002	22111
724	58083	22031
725	58164	21952
726	58247	21872
727	58328	21793
728	58411	21714
729	58495	21635
730	58580	21557
731	58661	21477
732	58742	21397
733	58826	21318
734	58910	21239
735	58992	21160
736	59078	21082
737	59160	21002
738	59242	20923
739	59328	20845
740	59405	20763
741	59485	20683
742	59565	20603
743	59646	20523
744	59728	20444
745	59810	20364
746	59893	20285
747	59971	20204
748	60053	20124
749	60133	20044
750	60214	19964
751	60307	19888
752	60395	19810
753	60477	19731
754	60559	19651
755	60640	19571
756	60720	19491
757	60799	19410
758	60879	19330
759	60962	19251
760	61047	19172
761	61128	19092
762	61209	19012
763	61295	18934
764	61381	18855
765	61463	18776
766	61546	18696
767	61627	18616
768	61710	18537
769	61790	18456
770	61869	18376
771	61951	18296
772	62045	18220
773	62132	18142
774	62212	18061
775	62293	17981
776	62371	17900
777	62454	17821
778	62541	17742
779	62621	17662
780	62703	17582
781	62784	17502
782	62864	17422
783	62949	17343
784	63036	17264
785	63119	17185
786	63205	17106
787	63286	17026
788	63366	16945
789	63446	16865
790	63526	16785
791	63614	16706
792	63700	16627
793	63783	16548
794	63867	16468
795	63952	16389
796	64034	16310
797	64120	16230
798	64202	16151
799	64288	16072
800	64374	15993
801	64460	15914
802	64541	15834
803	64631	15755
804	64714	15676
805	64793	15595
806	64872	15514
807	64961	15436
808	65048	15357
809	65130	15277
810	65212	15197
811	65290	15116
812	65373	15036
813	65454	14956
814	65533	14875
815	65609	14794
816	65688	14713
817	65766	14632
818	65843	14551
819	65923	14471
820	66013	14392
821	66106	14315
822	66190	14235
823	66276	14156
824	66358	14075
825	66446	13997
826	66527	13916
827	66607	13836
828	66687	13755
829	66766	13675
830	66842	13593
831	66919	13512
832	66997	13431
833	67076	13350
834	67155	13270
835	67231	13189
836	67311	13108
837	67388	13027
838	67464	12946
839	67541	12865
840	67618	12784
841	67693	12702
842	67774	12622
843	67850	12541
844	67927	12460
845	68008	12379
846	68087	12299
847	68162	12217
848	68238	12136
849	68317	12056
850	68395	11975
851	68474	11894
852	68553	11813
853	68629	11732
854	68708	11652
855	68786	11571
856	68864	11490
857	68941	11409
858	69020	11329
859	69099	11248
860	69176	11167
861	69252	11086
862	69327	11005
863	69407	10925
864	69483	10844
865	69561	10763
866	69637	10682
867	69715	10601
868	69795	10521
869	69873	10440
870	69953	10360
871	70037	10280
872	70118	10200
873	70198	10120
874	70277	10039
875	70357	9959
876	70438	9879
877	70517	9798
878	70596	9718
879	70676	9637
880	70754	9557
881	70832	9476
882	70910	9395
883	70995	9316
884	71083	9236
885	71168	9157
886	71256	9077
887	71335	8997
888	71414	8916
889	71494	8836
890	71579	8756
891	71659	8676
892	71742	8596
893	71819	8515
894	71899	8435
895	71979	8354
896	72065	8275
897	72151	8195
898	72234	8115
899	72314	8034
900	72392	7954
901	72476	7874
902	72557	7794
903	72637	7713
904	72717	7633
905	72795	7552
906	72875	7472
907	72954	7391
908	73038	7311
909	73132	7232
910	73213	7152
911	73292	7072
912	73371	6991
913	73454	6911
914	73533	6831
915	73615	6750
916	73695	6670
917	73776	6590
918	73857	6509
919	73934	6429
920	74014	6348
921	74095	6268
922	74181	6188
923	74262	6108
924	74340	6027
925	74422	5947
926	74500	5866
927	74579	5786
928	74660	5706
929	74743	5625
930	74823	5545
931	74903	5465
932	74986	5384
933	75066	5304
934	75146	5224
935	75227	5143
936	75309	5063
937	75388	4983
938	75468	4902
939	75543	4821
940	75626	4741
941	75704	4661
942	75785	4580
943	75864	4500
944	75942	4419
945	76024	4339
946	76103	4259
947	76188	4179
948	76269	4098
949	76351	4018
950	76430	3938
951	76507	3857
952	76586	3777
953	76664	3696
954	76747	3616
955	76826	3535
956	76907	3455
957	76991	3375
958	77070	3294
959	77150	3214
960	77263	3135
961	77343	3055
962	77422	2974
963	77503	2894
964	77581	2813
965	77659	2733
966	77738	2652
967	77818	2572
968	77906	2492
969	77988	2412
970	78066	2331
971	78146	2251
972	78229	2170
973	78308	2090
974	78389	2009
975	78468	1929
976	78549	1849
977	78628	1768
978	78713	1688
979	78791	1607
980	78872	1527
981	78952	1447
982	79044	1366
983	79130	1286
984	79223	1206
985	79318	1126
986	79405	1045
987	79494	965
988	79577	885
989	79657	804
990	79736	724
991	79814	643
992	79892	563
993	79975	482
994	80059	402
995	80138	321
996	80216	241
997	80301	160
998	80378	80
999	80457	0
